Node: 104.23.112.115, Ping: 600.361 ms, Download Speed: 3810973.64 Mbps
Node: 104.23.112.116, Ping: 600.361 ms, Download Speed: 3976821.57 Mbps
Node: 104.23.112.117, Ping: 245.988 ms, Download Speed: 2315096.65 Mbps
Node: 104.23.112.118, Ping: 362.223 ms, Download Speed: 5484570.68 Mbps
Node: 104.23.112.119, Ping: 353.648 ms, Download Speed: 3356229.82 Mbps
Node: 104.23.112.120, Ping: 353.648 ms, Download Speed: 7740074.42 Mbps
Node: 104.23.112.121, Ping: 241.751 ms, Download Speed: 2174666.99 Mbps
Node: 104.23.112.122, Ping: 431.586 ms, Download Speed: 3395231.06 Mbps
Node: 104.23.112.123, Ping: 431.586 ms, Download Speed: 5010461.15 Mbps
Node: 104.23.112.124, Ping: 296.054 ms, Download Speed: 8264320.37 Mbps
Node: 104.23.112.125, Ping: 344.652 ms, Download Speed: 5556231.95 Mbps
Node: 104.23.112.126, Ping: 245.149 ms, Download Speed: 7304366.15 Mbps
Node: 104.23.112.127, Ping: 245.149 ms, Download Speed: 7425600.44 Mbps
Node: 104.23.112.128, Ping: 255.928 ms, Download Speed: 2523334.29 Mbps
Node: 104.23.112.129, Ping: 318.355 ms, Download Speed: 2574148.81 Mbps
Node: 104.23.112.130, Ping: 258.479 ms, Download Speed: 3760258.53 Mbps
Node: 104.23.112.131, Ping: 237.574 ms, Download Speed: 591903.10 Mbps
Node: 104.23.112.132, Ping: 237.574 ms, Download Speed: 2922342.86 Mbps
Node: 104.23.112.133, Ping: 237.574 ms, Download Speed: 3499525.21 Mbps
Node: 104.23.112.134, Ping: 237.574 ms, Download Speed: 5673668.82 Mbps
Node: 104.23.112.135, Ping: 237.574 ms, Download Speed: 3329948.28 Mbps
Node: 104.23.112.136, Ping: 296.427 ms, Download Speed: 3169483.65 Mbps
Node: 104.23.112.137, Ping: 296.427 ms, Download Speed: 4338789.07 Mbps
Node: 104.23.112.138, Ping: 296.427 ms, Download Speed: 4013988.13 Mbps
Node: 104.23.112.139, Ping: 272.174 ms, Download Speed: 1643880.77 Mbps
Node: 104.23.112.140, Ping: 288.193 ms, Download Speed: 5064222.73 Mbps
Node: 104.23.112.141, Ping: 288.193 ms, Download Speed: 3332273.49 Mbps
Node: 104.23.112.142, Ping: 311.404 ms, Download Speed: 4145321.20 Mbps
Node: 104.23.112.143, Ping: 258.533 ms, Download Speed: 5102123.18 Mbps
Node: 104.23.112.144, Ping: 247.974 ms, Download Speed: 3428294.46 Mbps
Node: 104.23.112.145, Ping: 243.906 ms, Download Speed: 4216125.74 Mbps
Node: 104.23.112.146, Ping: 243.906 ms, Download Speed: 2332193.36 Mbps
Node: 104.23.112.147, Ping: 243.906 ms, Download Speed: 1917310.52 Mbps
Node: 104.23.112.148, Ping: 541.851 ms, Download Speed: 1756058.26 Mbps
Node: 104.23.112.149, Ping: 541.851 ms, Download Speed: 3084357.12 Mbps
Node: 104.23.112.150, Ping: 294.622 ms, Download Speed: 4368800.02 Mbps
Node: 104.23.112.151, Ping: 294.622 ms, Download Speed: 4771655.70 Mbps
Node: 104.23.112.152, Ping: 379.553 ms, Download Speed: 1915856.59 Mbps
Node: 104.23.112.153, Ping: 540.721 ms, Download Speed: 4803139.45 Mbps
Node: 104.23.112.154, Ping: 540.721 ms, Download Speed: 5240321.25 Mbps
Node: 104.23.112.155, Ping: 540.721 ms, Download Speed: 1503682.14 Mbps
Node: 104.23.112.156, Ping: 540.721 ms, Download Speed: 3381597.75 Mbps
Node: 104.23.112.157, Ping: 258.425 ms, Download Speed: 8731383.00 Mbps
Node: 104.23.112.158, Ping: 272.734 ms, Download Speed: 3187832.92 Mbps
Node: 104.23.112.159, Ping: 266.370 ms, Download Speed: 2080794.19 Mbps
Node: 104.23.112.162, Ping: 266.370 ms, Download Speed: 5872254.98 Mbps
Node: 104.23.112.163, Ping: 266.370 ms, Download Speed: 3041330.76 Mbps
Node: 104.23.112.164, Ping: 266.370 ms, Download Speed: 615457.09 Mbps
Node: 104.23.112.165, Ping: 417.330 ms, Download Speed: 2784961.29 Mbps
Node: 104.23.112.166, Ping: 589.331 ms, Download Speed: 3251053.89 Mbps
Node: 104.23.112.167, Ping: 589.331 ms, Download Speed: 1950484.69 Mbps
Node: 104.23.112.168, Ping: 287.900 ms, Download Speed: 3305600.94 Mbps
Node: 104.23.112.169, Ping: 287.900 ms, Download Speed: 5291975.48 Mbps
Node: 104.23.112.170, Ping: 415.912 ms, Download Speed: 3258947.79 Mbps
Node: 104.23.112.171, Ping: 415.912 ms, Download Speed: 1039490.61 Mbps
Node: 104.23.112.172, Ping: 286.827 ms, Download Speed: 4016240.22 Mbps
Node: 104.23.112.173, Ping: 286.827 ms, Download Speed: 3131355.57 Mbps
Node: 104.23.112.174, Ping: 286.827 ms, Download Speed: 2891065.76 Mbps
Node: 104.23.112.175, Ping: 264.996 ms, Download Speed: 2419699.89 Mbps
Node: 104.23.112.176, Ping: 358.713 ms, Download Speed: 2835523.40 Mbps
Node: 104.23.112.177, Ping: 254.044 ms, Download Speed: 6476126.80 Mbps
Node: 104.23.112.178, Ping: 422.101 ms, Download Speed: 3715369.63 Mbps
Node: 104.23.112.179, Ping: 460.664 ms, Download Speed: 3491275.64 Mbps
